
time,ax,ay,az,wx,wy,wz,
0.005,-0.01,-0.01,-0.04,0.01,-0.02,-0.00,
0.005,-0.01,-0.01,-0.04,0.01,-0.02,-0.00,
0.005,-0.01,-0.01,-0.02,0.01,-0.02,-0.00,
0.005,-0.01,-0.01,-0.02,0.01,-0.02,-0.00,
0.006,-0.03,-0.02,-0.01,0.01,-0.02,-0.00,
0.006,-0.03,-0.02,-0.01,0.01,-0.02,-0.00,
0.006,-0.03,-0.02,-0.01,0.01,-0.02,0.00,
0.006,-0.00,0.01,-0.02,0.01,-0.02,0.00,
0.006,-0.00,0.01,-0.02,0.01,-0.02,-0.00,
0.006,-0.00,0.01,-0.02,0.01,-0.02,0.00,
0.006,0.03,0.00,-0.03,0.01,-0.02,0.00,
0.006,0.03,0.00,-0.03,0.01,-0.02,-0.00,
0.007,0.03,0.00,-0.03,0.01,-0.02,-0.00,
0.016,0.06,0.01,-0.05,0.01,-0.02,-0.00,
0.016,0.06,0.01,-0.05,0.01,-0.01,-0.00,
0.016,0.06,0.01,-0.05,0.01,-0.01,-0.00,
0.016,0.06,0.02,-0.05,0.01,-0.01,-0.00,
0.016,0.06,0.02,-0.05,0.01,-0.01,-0.00,
0.018,0.06,0.02,-0.05,0.01,-0.01,-0.00,
0.02,0.03,0.00,-0.02,0.01,-0.01,-0.00,
0.02,0.03,0.00,-0.02,0.01,-0.01,-0.00,
0.022,0.03,0.00,-0.02,0.01,-0.01,-0.00,
0.026,-0.03,-0.00,-0.00,0.01,-0.01,-0.00,
0.027,-0.03,-0.00,-0.00,0.01,-0.01,-0.00,
0.028,-0.03,-0.00,-0.00,0.01,-0.01,-0.00,
0.03,-0.04,-0.02,0.01,0.01,-0.01,-0.00,
0.03,-0.04,-0.02,0.01,0.01,-0.01,-0.00,
0.032,-0.04,-0.02,0.01,0.01,-0.01,0.00,
0.035,-0.02,-0.00,0.01,0.01,-0.01,0.00,
0.035,-0.02,-0.00,0.01,0.01,-0.01,0.00,
0.037,-0.02,-0.00,0.01,0.01,-0.01,-0.00,
0.04,-0.02,-0.00,0.01,0.01,-0.02,0.00,
0.04,-0.01,-0.00,-0.01,0.01,-0.02,0.00,
0.042,-0.01,-0.00,-0.01,0.01,-0.02,0.00,
0.044,0.01,-0.01,-0.02,0.01,-0.02,0.00,
0.045,0.01,-0.01,-0.02,0.01,-0.01,-0.00,
0.047,0.01,-0.01,-0.02,0.01,-0.01,-0.00,
0.049,0.03,-0.02,-0.02,0.01,-0.01,-0.00,
0.049,0.03,-0.02,-0.02,0.01,-0.01,0.00,
0.052,0.03,-0.02,-0.02,0.01,-0.01,0.00,
0.054,0.06,-0.00,-0.01,0.01,-0.01,0.00,
0.057,0.06,-0.00,-0.01,0.01,-0.01,-0.00,
0.057,0.06,-0.00,-0.01,0.01,-0.01,-0.00,
0.06,0.08,0.00,-0.04,0.01,-0.01,-0.00,
0.06,0.08,0.00,-0.04,0.01,-0.01,-0.00,
0.062,0.08,0.00,-0.04,0.01,-0.01,-0.00,
0.069,0.08,0.00,-0.04,0.01,-0.01,-0.00,
0.069,0.08,0.00,-0.04,0.01,-0.01,-0.00,
0.069,0.05,-0.01,-0.04,0.01,-0.01,-0.00,
0.07,0.01,-0.01,-0.03,0.01,-0.01,-0.00,
0.07,0.01,-0.01,-0.03,0.01,-0.01,-0.00,
0.074,0.01,-0.01,-0.03,0.01,-0.01,-0.00,
