
time,ax,ay,az,wx,wy,wz,
0.003,-1.59,-0.06,1.69,0.32,0.61,1.04,
0.003,-0.94,-0.19,1.14,0.32,0.61,1.04,
0.003,-0.94,-0.19,1.14,0.33,0.66,1.04,
0.003,-0.94,-0.19,1.14,0.33,0.70,1.03,
0.003,-0.42,-0.22,0.64,0.33,0.70,1.03,
0.005,-0.42,-0.22,0.64,0.33,0.74,1.02,
0.008,-0.42,-0.22,0.64,0.32,0.78,1.01,
0.008,-0.36,-0.19,0.40,0.32,0.78,1.01,
0.01,-0.36,-0.19,0.40,0.30,0.80,1.00,
0.013,-0.38,-0.16,0.29,0.30,0.80,1.00,
0.014,-0.38,-0.16,0.29,0.29,0.80,0.99,
0.015,-0.38,-0.16,0.29,0.28,0.80,0.98,
0.017,-0.38,-0.16,0.29,0.26,0.81,0.97,
0.017,-0.32,-0.03,0.19,0.26,0.81,0.97,
0.02,-0.32,-0.03,0.19,0.25,0.81,0.95,
0.022,-0.32,-0.03,0.19,0.23,0.82,0.94,
0.022,-0.17,0.06,0.11,0.23,0.82,0.94,
0.024,-0.17,0.06,0.11,0.21,0.82,0.93,
0.027,-0.17,0.06,0.11,0.20,0.83,0.91,
0.027,-0.02,0.07,-0.03,0.20,0.83,0.91,
0.031,-0.02,0.07,-0.03,0.18,0.84,0.89,
0.032,0.04,0.03,-0.06,0.18,0.84,0.89,
0.032,0.04,0.03,-0.06,0.17,0.85,0.87,
0.035,0.04,0.03,-0.06,0.16,0.86,0.86,
0.037,0.04,0.03,-0.06,0.15,0.86,0.85,
0.037,-0.01,-0.02,0.07,0.15,0.86,0.85,
0.039,-0.01,-0.02,0.07,0.14,0.86,0.84,
0.042,-0.01,-0.02,0.07,0.14,0.85,0.83,
0.042,-0.16,-0.07,0.35,0.14,0.85,0.83,
0.044,-0.16,-0.07,0.35,0.15,0.84,0.83,
0.049,-0.32,-0.11,0.76,0.15,0.84,0.83,
0.049,-0.32,-0.11,0.76,0.16,0.83,0.83,
0.049,-0.32,-0.11,0.76,0.18,0.82,0.83,
0.052,-0.32,-0.11,0.76,0.21,0.81,0.83,
0.053,-0.43,-0.15,1.16,0.21,0.81,0.83,
0.054,-0.43,-0.15,1.16,0.24,0.78,0.82,
0.057,-0.51,-0.13,1.43,0.24,0.78,0.82,
0.057,-0.51,-0.13,1.43,0.28,0.76,0.82,
0.059,-0.51,-0.13,1.43,0.31,0.73,0.82,
0.062,-0.51,-0.13,1.43,0.35,0.70,0.81,
0.063,-0.53,-0.12,1.56,0.35,0.70,0.81,
0.064,-0.53,-0.12,1.56,0.38,0.66,0.80,
0.067,-0.53,-0.12,1.56,0.41,0.62,0.79,
0.067,-0.59,-0.06,1.47,0.41,0.62,0.79,
0.069,-0.59,-0.06,1.47,0.44,0.59,0.79,
0.071,-0.59,-0.06,1.47,0.46,0.56,0.78,
0.072,-0.74,0.05,1.24,0.46,0.56,0.78,
0.074,-0.74,0.05,1.24,0.48,0.53,0.77,
0.076,-0.74,0.05,1.24,0.49,0.52,0.77,
0.077,-0.98,0.16,0.98,0.49,0.52,0.77,
0.079,-0.98,0.16,0.98,0.50,0.51,0.77,
0.082,-1.16,0.19,0.74,0.50,0.51,0.77,
0.082,-1.16,0.19,0.74,0.51,0.50,0.78,
0.084,-1.16,0.19,0.74,0.51,0.51,0.78,
0.087,-1.16,0.19,0.74,0.51,0.51,0.78,
0.087,-1.19,0.17,0.49,0.51,0.51,0.78,
0.089,-1.19,0.17,0.49,0.50,0.53,0.78,
0.091,-1.19,0.17,0.49,0.49,0.54,0.78,
0.092,-1.12,0.14,0.30,0.49,0.54,0.78,
0.094,-1.12,0.14,0.30,0.48,0.55,0.78,
0.097,-1.12,0.14,0.30,0.46,0.57,0.78,
0.097,-1.01,0.16,0.23,0.46,0.57,0.78,
0.099,-1.01,0.16,0.23,0.44,0.58,0.78,
0.102,-1.01,0.16,0.23,0.42,0.58,0.77,
0.102,-0.73,0.09,0.29,0.42,0.58,0.77,
0.104,-0.73,0.09,0.29,0.41,0.58,0.76,
0.106,-0.73,0.09,0.29,0.39,0.58,0.75,
0.107,-0.42,-0.01,0.48,0.39,0.58,0.75,
0.109,-0.42,-0.01,0.48,0.37,0.58,0.73,
0.111,-0.42,-0.01,0.48,0.35,0.58,0.72,
0.117,-0.32,-0.08,0.72,0.35,0.58,0.72,
0.117,-0.32,-0.08,0.72,0.34,0.58,0.71,
0.117,-0.32,-0.08,0.72,0.33,0.58,0.70,
0.117,-0.43,-0.07,0.88,0.33,0.58,0.70,
0.119,-0.43,-0.07,0.88,0.32,0.59,0.70,
0.121,-0.43,-0.07,0.88,0.31,0.61,0.70,
0.121,-0.32,0.01,0.85,0.31,0.61,0.70,
0.123,-0.32,0.01,0.85,0.30,0.64,0.70,
0.126,-0.32,0.01,0.85,0.29,0.67,0.69,
0.126,0.00,0.02,0.68,0.29,0.67,0.69,
0.128,0.00,0.02,0.68,0.28,0.73,0.67,
0.132,0.00,0.02,0.68,0.27,0.80,0.66,
0.132,0.18,-0.06,0.49,0.27,0.80,0.66,
0.134,0.18,-0.06,0.49,0.25,0.89,0.65,
0.136,0.18,-0.06,0.49,0.24,0.98,0.64,
0.136,0.12,-0.14,0.47,0.24,0.98,0.64,
0.138,0.12,-0.14,0.47,0.23,1.07,0.64,
0.141,0.12,-0.14,0.47,0.22,1.16,0.65,
0.141,-0.20,-0.11,0.68,0.22,1.16,0.65,
0.143,-0.20,-0.11,0.68,0.21,1.25,0.66,
0.148,-0.20,-0.11,0.68,0.21,1.32,0.68,
0.148,-0.53,-0.06,0.92,0.21,1.32,0.68,
0.148,-0.53,-0.06,0.92,0.21,1.40,0.70,
0.151,-0.77,0.07,1.00,0.21,1.40,0.70,
0.152,-0.77,0.07,1.00,0.21,1.47,0.73,
0.153,-0.77,0.07,1.00,0.22,1.54,0.76,
0.156,-0.77,0.07,1.00,0.22,1.61,0.79,
0.156,-0.72,0.30,0.91,0.22,1.61,0.79,
0.158,-0.72,0.30,0.91,0.23,1.67,0.82,
0.161,-0.72,0.30,0.91,0.22,1.74,0.84,
0.161,-0.46,0.43,0.66,0.22,1.74,0.84,
0.164,-0.46,0.43,0.66,0.22,1.79,0.85,
0.166,-0.46,0.43,0.66,0.21,1.83,0.86,
0.166,-0.18,0.39,0.46,0.21,1.83,0.86,
0.168,-0.18,0.39,0.46,0.20,1.84,0.87,
0.171,-0.18,0.39,0.46,0.19,1.84,0.88,
0.171,-0.15,0.31,0.34,0.19,1.84,0.88,
0.174,-0.15,0.31,0.34,0.17,1.82,0.89,
0.177,-0.15,0.31,0.34,0.15,1.78,0.90,
0.177,-0.28,0.41,0.28,0.15,1.78,0.90,
0.18,-0.28,0.41,0.28,0.13,1.73,0.91,
0.182,-0.46,0.64,0.05,0.13,1.73,0.91,
0.183,-0.46,0.64,0.05,0.10,1.69,0.92,
0.183,-0.46,0.64,0.05,0.08,1.64,0.94,
0.186,-0.58,0.79,-0.23,0.08,1.64,0.94,
0.187,-0.58,0.79,-0.23,0.06,1.61,0.96,
0.188,-0.58,0.79,-0.23,0.03,1.59,0.97,
0.192,-0.60,0.71,-0.49,0.03,1.59,0.97,
0.192,-0.60,0.71,-0.49,0.01,1.59,0.98,
0.193,-0.60,0.71,-0.49,-0.00,1.61,1.00,
0.197,-0.64,0.50,-0.47,-0.00,1.61,1.00,
0.197,-0.64,0.50,-0.47,-0.01,1.64,1.01,
0.199,-0.64,0.50,-0.47,-0.01,1.69,1.03,
0.201,-0.64,0.50,-0.47,0.00,1.74,1.04,
0.201,-0.73,0.32,-0.43,0.00,1.74,1.04,
0.203,-0.73,0.32,-0.43,0.02,1.81,1.06,
0.206,-0.93,0.28,-0.33,0.02,1.81,1.06,
0.206,-0.93,0.28,-0.33,0.05,1.89,1.08,
0.208,-0.93,0.28,-0.33,0.09,1.96,1.11,
0.211,-0.99,0.45,0.15,0.09,1.96,1.11,
0.211,-0.99,0.45,0.15,0.15,2.02,1.13,
0.213,-0.99,0.45,0.15,0.22,2.07,1.16,
0.216,-0.99,0.45,0.15,0.31,2.11,1.17,
