
time,ax,ay,az,wx,wy,wz,
0.003,0.30,0.06,-0.32,-0.03,-0.02,-0.11,
0.003,0.19,0.11,-0.38,-0.03,-0.02,-0.11,
0.004,0.19,0.11,-0.38,-0.04,-0.00,-0.11,
0.004,0.19,0.11,-0.38,-0.04,0.01,-0.10,
0.004,0.07,0.13,-0.42,-0.04,0.01,-0.10,
0.004,0.07,0.13,-0.42,-0.05,0.02,-0.10,
0.005,0.07,0.13,-0.42,-0.06,0.03,-0.09,
0.007,0.07,0.13,-0.42,-0.07,0.04,-0.08,
0.008,-0.05,0.13,-0.45,-0.07,0.04,-0.08,
0.011,-0.05,0.13,-0.45,-0.07,0.04,-0.07,
0.012,-0.05,0.13,-0.45,-0.08,0.04,-0.06,
0.013,-0.12,0.14,-0.40,-0.08,0.04,-0.06,
0.022,-0.12,0.14,-0.40,-0.08,0.04,-0.05,
0.022,-0.12,0.14,-0.40,-0.08,0.04,-0.04,
0.022,-0.15,0.13,-0.31,-0.08,0.04,-0.04,
0.022,-0.15,0.13,-0.31,-0.08,0.04,-0.03,
0.022,-0.15,0.13,-0.31,-0.08,0.03,-0.02,
0.023,-0.13,0.11,-0.20,-0.08,0.03,-0.02,
0.024,-0.13,0.11,-0.20,-0.08,0.03,-0.02,
0.028,-0.13,0.11,-0.20,-0.07,0.02,-0.01,
0.029,-0.12,0.07,-0.05,-0.07,0.02,-0.01,
0.03,-0.12,0.07,-0.05,-0.06,0.01,-0.00,
0.032,-0.12,0.07,-0.05,-0.05,0.01,0.00,
0.033,-0.08,0.01,0.06,-0.05,0.01,0.00,
0.035,-0.08,0.01,0.06,-0.04,-0.00,0.00,
0.037,-0.05,-0.04,0.20,-0.04,-0.00,0.00,
0.037,-0.05,-0.04,0.20,-0.02,-0.01,0.01,
0.04,-0.05,-0.04,0.20,-0.01,-0.01,0.01,
0.042,-0.05,-0.04,0.20,0.00,-0.02,0.01,
0.042,0.01,-0.07,0.26,0.00,-0.02,0.01,
0.044,0.01,-0.07,0.26,0.02,-0.02,0.01,
0.047,0.01,-0.07,0.26,0.03,-0.02,0.01,
0.047,0.05,-0.09,0.25,0.03,-0.02,0.01,
0.05,0.05,-0.09,0.25,0.04,-0.02,0.01,
0.052,0.05,-0.09,0.25,0.05,-0.02,0.00,
0.052,0.13,-0.10,0.21,0.05,-0.02,0.00,
0.055,0.13,-0.10,0.21,0.06,-0.02,0.01,
0.057,0.13,-0.10,0.21,0.06,-0.01,0.00,
0.057,0.16,-0.07,0.13,0.06,-0.01,0.00,
0.063,0.16,-0.07,0.13,0.07,-0.00,0.00,
0.063,0.16,-0.07,0.13,0.07,0.00,-0.00,
0.067,0.16,-0.04,0.06,0.07,0.00,-0.00,
0.067,0.16,-0.04,0.06,0.07,0.01,-0.00,
0.067,0.16,-0.04,0.06,0.07,0.02,-0.01,
0.068,0.18,-0.03,0.00,0.07,0.02,-0.01,
0.069,0.18,-0.03,0.00,0.07,0.02,-0.01,
0.077,0.18,-0.03,0.00,0.06,0.03,-0.01,
0.077,0.18,-0.03,0.00,0.06,0.03,-0.01,
0.078,0.16,-0.04,0.02,0.06,0.03,-0.01,
0.078,0.11,-0.00,0.02,0.06,0.03,-0.01,
0.078,0.11,-0.00,0.02,0.06,0.03,-0.01,
0.079,0.11,-0.00,0.02,0.05,0.04,-0.01,
0.082,0.11,-0.00,0.02,0.05,0.04,-0.01,
0.083,0.09,0.00,0.04,0.05,0.04,-0.01,
0.084,0.09,0.00,0.04,0.05,0.04,-0.00,
0.087,0.09,0.00,0.04,0.04,0.03,-0.00,
0.087,0.05,0.04,0.05,0.04,0.03,-0.00,
0.089,0.05,0.04,0.05,0.04,0.03,-0.00,
0.092,0.05,0.04,0.05,0.03,0.03,0.00,
0.092,0.05,0.01,0.02,0.03,0.03,0.00,
0.094,0.05,0.01,0.02,0.03,0.02,0.00,
0.097,0.05,0.01,0.02,0.02,0.02,0.00,
0.097,0.09,0.01,-0.01,0.02,0.02,0.00,
0.099,0.09,0.01,-0.01,0.01,0.01,0.00,
0.102,0.09,0.01,-0.01,0.00,0.00,0.00,
0.102,0.13,0.02,-0.05,0.00,0.00,0.00,
0.104,0.13,0.02,-0.05,-0.01,-0.00,0.00,
0.107,0.13,0.02,-0.05,-0.02,-0.01,0.00,
