
time,ax,ay,az,wx,wy,wz,
0.002,0.03,0.11,-0.57,0.02,-0.10,0.01,
0.002,0.03,0.11,-0.57,0.02,-0.10,0.01,
0.002,-0.01,0.12,-0.63,0.02,-0.10,0.01,
0.002,-0.01,0.12,-0.63,0.02,-0.09,0.00,
0.003,-0.01,0.12,-0.63,0.02,-0.08,0.00,
0.003,-0.04,0.12,-0.64,0.02,-0.08,0.00,
0.013,-0.04,0.12,-0.64,0.02,-0.08,0.00,
0.014,-0.03,0.11,-0.62,0.02,-0.08,0.00,
0.014,-0.03,0.11,-0.62,0.02,-0.07,0.01,
0.014,-0.03,0.11,-0.62,0.01,-0.06,0.01,
0.014,-0.03,0.11,-0.62,0.01,-0.06,0.01,
0.014,-0.03,0.09,-0.57,0.01,-0.06,0.01,
0.015,-0.03,0.09,-0.57,0.00,-0.05,0.01,
0.015,-0.03,0.09,-0.57,-0.00,-0.05,0.01,
0.015,-0.05,0.06,-0.48,-0.00,-0.05,0.01,
0.017,-0.05,0.06,-0.48,-0.00,-0.04,0.01,
0.02,-0.08,0.06,-0.40,-0.00,-0.04,0.01,
0.02,-0.08,0.06,-0.40,-0.01,-0.04,0.01,
0.024,-0.08,0.06,-0.40,-0.01,-0.04,0.01,
0.025,-0.08,0.06,-0.40,-0.01,-0.04,0.00,
0.025,-0.10,0.03,-0.33,-0.01,-0.04,0.00,
0.027,-0.10,0.03,-0.33,-0.02,-0.04,0.00,
0.03,-0.10,0.03,-0.33,-0.02,-0.05,0.00,
0.03,-0.13,-0.02,-0.20,-0.02,-0.05,0.00,
0.032,-0.13,-0.02,-0.20,-0.02,-0.05,0.00,
0.035,-0.13,-0.02,-0.20,-0.02,-0.06,0.00,
0.035,-0.16,-0.03,-0.10,-0.02,-0.06,0.00,
0.038,-0.16,-0.03,-0.10,-0.02,-0.07,0.00,
0.04,-0.16,-0.03,-0.10,-0.02,-0.07,0.00,
0.041,-0.15,-0.04,-0.01,-0.02,-0.07,0.00,
0.042,-0.15,-0.04,-0.01,-0.01,-0.08,0.01,
0.045,-0.07,-0.05,0.02,-0.01,-0.08,0.01,
0.045,-0.07,-0.05,0.02,-0.01,-0.09,0.00,
0.048,-0.07,-0.05,0.02,-0.01,-0.10,0.00,
0.05,-0.01,-0.06,-0.00,-0.01,-0.10,0.00,
0.051,-0.01,-0.06,-0.00,-0.01,-0.10,0.00,
0.052,-0.01,-0.06,-0.00,-0.00,-0.10,0.00,
0.055,-0.01,-0.06,-0.00,-0.00,-0.10,0.00,
0.056,0.04,-0.12,-0.04,-0.00,-0.10,0.00,
0.057,0.04,-0.12,-0.04,-0.00,-0.10,-0.00,
0.06,0.09,-0.10,-0.05,-0.00,-0.10,-0.00,
0.06,0.09,-0.10,-0.05,-0.00,-0.11,-0.00,
0.063,0.09,-0.10,-0.05,0.00,-0.10,-0.01,
0.065,0.09,-0.10,-0.05,0.00,-0.10,-0.01,
0.065,0.13,-0.08,-0.09,0.00,-0.10,-0.01,
0.067,0.13,-0.08,-0.09,0.00,-0.10,-0.01,
0.071,0.13,-0.08,-0.09,0.00,-0.09,-0.01,
0.071,0.15,-0.06,-0.11,0.00,-0.09,-0.01,
