
time,ax,ay,az,wx,wy,wz,
0.008,-0.00,-0.29,0.21,0.06,-0.02,0.02,
0.008,-0.07,-0.11,0.09,0.06,-0.02,0.02,
0.008,-0.07,-0.11,0.09,0.05,-0.02,0.02,
0.008,-0.07,-0.11,0.09,0.05,-0.03,0.02,
0.008,-0.06,0.07,-0.03,0.05,-0.03,0.02,
0.009,-0.06,0.07,-0.03,0.05,-0.03,0.02,
0.009,-0.06,0.07,-0.03,0.05,-0.04,0.02,
0.009,-0.01,0.10,-0.10,0.05,-0.04,0.02,
0.009,-0.01,0.10,-0.10,0.04,-0.04,0.02,
0.011,-0.01,0.10,-0.10,0.04,-0.04,0.02,
0.012,0.03,0.07,-0.18,0.04,-0.04,0.02,
0.013,0.03,0.07,-0.18,0.04,-0.04,0.02,
0.017,0.03,0.02,-0.20,0.04,-0.04,0.02,
0.017,0.03,0.02,-0.20,0.03,-0.03,0.02,
0.019,0.03,0.02,-0.20,0.03,-0.03,0.02,
0.021,-0.02,0.02,-0.09,0.03,-0.03,0.02,
0.022,-0.02,0.02,-0.09,0.02,-0.03,0.02,
0.024,-0.02,0.02,-0.09,0.02,-0.02,0.02,
0.026,0.07,-0.01,0.01,0.02,-0.02,0.02,
0.026,0.07,-0.01,0.01,0.02,-0.02,0.02,
0.029,0.07,-0.01,0.01,0.02,-0.02,0.02,
0.032,0.07,-0.01,0.01,0.02,-0.02,0.01,
0.033,0.08,0.03,0.00,0.02,-0.02,0.01,
0.034,0.08,0.03,0.00,0.02,-0.02,0.01,
0.036,0.08,0.03,0.00,0.02,-0.02,0.01,
0.036,0.11,0.04,0.01,0.02,-0.02,0.01,
0.039,0.11,0.04,0.01,0.01,-0.02,0.01,
0.041,0.11,0.04,0.01,0.01,-0.02,0.01,
0.041,0.10,0.02,0.09,0.01,-0.02,0.01,
0.043,0.10,0.02,0.09,0.01,-0.02,0.01,
0.046,0.10,0.02,0.09,0.02,-0.02,0.00,
0.046,0.04,-0.01,0.20,0.02,-0.02,0.00,
0.048,0.04,-0.01,0.20,0.02,-0.02,0.00,
0.051,0.04,-0.01,0.20,0.02,-0.02,0.00,
0.051,-0.03,-0.02,0.25,0.02,-0.02,0.00,
0.053,-0.03,-0.02,0.25,0.02,-0.03,0.00,
0.056,-0.03,-0.02,0.25,0.03,-0.03,0.01,
0.056,-0.10,-0.05,0.24,0.03,-0.03,0.01,
0.058,-0.10,-0.05,0.24,0.03,-0.04,0.01,
0.061,-0.08,-0.04,0.21,0.03,-0.04,0.01,
0.061,-0.08,-0.04,0.21,0.03,-0.04,0.01,
0.063,-0.08,-0.04,0.21,0.03,-0.04,0.01,
0.066,-0.08,-0.04,0.21,0.03,-0.04,0.01,
0.066,-0.01,-0.05,0.27,0.03,-0.04,0.01,
0.068,-0.01,-0.05,0.27,0.04,-0.05,0.01,
0.074,-0.01,-0.05,0.27,0.04,-0.05,0.01,
0.074,0.11,-0.05,0.37,0.04,-0.05,0.01,
0.074,0.11,-0.05,0.37,0.04,-0.04,0.00,
0.077,0.25,-0.08,0.36,0.04,-0.04,0.00,
0.077,0.25,-0.08,0.36,0.05,-0.04,0.00,
0.078,0.25,-0.08,0.36,0.05,-0.04,-0.00,
0.081,0.25,-0.08,0.36,0.06,-0.03,-0.01,
0.081,0.25,-0.07,0.24,0.06,-0.03,-0.01,
0.083,0.25,-0.07,0.24,0.06,-0.02,-0.01,
0.086,0.25,-0.07,0.24,0.06,-0.02,-0.01,
0.086,0.15,-0.02,0.20,0.06,-0.02,-0.01,
0.088,0.15,-0.02,0.20,0.06,-0.02,-0.01,
0.091,0.15,-0.02,0.20,0.07,-0.02,-0.01,
0.091,-0.02,0.06,0.20,0.07,-0.02,-0.01,
0.093,-0.02,0.06,0.20,0.07,-0.02,-0.01,
0.096,-0.02,0.06,0.20,0.07,-0.02,-0.01,
0.096,-0.12,0.14,0.11,0.07,-0.02,-0.01,
0.098,-0.12,0.14,0.11,0.07,-0.03,-0.00,
0.1,-0.12,0.14,0.11,0.07,-0.03,-0.00,
0.1,-0.11,0.16,-0.11,0.07,-0.03,-0.00,
0.104,-0.11,0.16,-0.11,0.06,-0.03,-0.00,
0.106,-0.11,0.16,-0.11,0.05,-0.03,-0.00,
0.107,-0.02,0.13,-0.43,0.05,-0.03,-0.00,
0.108,-0.02,0.13,-0.43,0.04,-0.01,-0.01,
0.11,-0.02,0.13,-0.43,0.03,0.01,-0.01,
0.111,0.14,0.12,-0.58,0.03,0.01,-0.01,
0.113,0.14,0.12,-0.58,0.03,-0.00,-0.01,
0.115,0.14,0.12,-0.58,0.03,-0.02,-0.02,
0.115,0.23,0.06,0.18,0.03,-0.02,-0.02,
0.119,0.23,0.06,0.18,0.04,-0.02,-0.02,
0.122,0.00,0.07,0.17,0.04,-0.02,-0.02,
0.122,0.00,0.07,0.17,0.04,-0.00,-0.02,
0.123,0.00,0.07,0.17,0.05,0.02,-0.01,
0.125,0.00,0.07,0.17,0.04,0.05,-0.00,
0.126,-0.33,0.15,-0.37,0.04,0.05,-0.00,
0.128,-0.33,0.15,-0.37,0.03,0.06,0.00,
0.131,-0.33,0.15,-0.37,0.03,0.03,0.00,
0.131,-0.11,0.12,0.20,0.03,0.03,0.00,
0.134,-0.11,0.12,0.20,0.04,-0.03,-0.00,
0.135,-0.11,0.12,0.20,0.05,-0.07,-0.01,
0.135,-0.02,0.32,0.81,0.05,-0.07,-0.01,
0.139,-0.02,0.32,0.81,0.06,-0.08,-0.01,
0.14,-0.02,0.32,0.81,0.07,-0.05,-0.01,
0.164,0.13,0.52,0.14,0.07,-0.05,-0.01,
0.165,0.13,0.52,0.14,0.07,0.00,-0.01,
0.165,0.13,0.52,0.14,0.06,0.05,-0.01,
0.165,0.40,0.63,-0.73,0.06,0.05,-0.01,
0.165,0.40,0.63,-0.73,0.04,0.07,-0.02,
0.166,0.40,0.63,-0.73,0.03,0.08,-0.03,
0.166,0.72,0.29,-0.54,0.03,0.08,-0.03,
0.166,0.72,0.29,-0.54,0.02,0.07,-0.05,
0.167,0.72,0.29,-0.54,0.02,0.05,-0.05,
0.167,0.16,-0.57,0.35,0.02,0.05,-0.05,
0.167,0.16,-0.57,0.35,0.02,0.04,-0.06,
0.167,0.16,-0.57,0.35,0.03,0.03,-0.04,
0.168,-0.65,-1.38,0.90,0.03,0.03,-0.04,
0.168,-0.65,-1.38,0.90,0.05,0.03,-0.02,
0.168,-0.65,-1.38,0.90,0.06,0.00,-0.01,
0.168,-0.67,-1.22,1.18,0.06,0.00,-0.01,
0.169,-0.67,-1.22,1.18,0.08,-0.03,-0.00,
0.17,-0.67,-1.22,1.18,0.09,-0.05,-0.00,
0.172,-0.16,-0.30,0.85,0.09,-0.05,-0.00,
0.172,-0.16,-0.30,0.85,0.10,-0.04,0.00,
0.175,0.12,0.55,0.21,0.10,-0.04,0.00,
0.175,0.12,0.55,0.21,0.10,-0.03,0.00,
0.178,0.12,0.55,0.21,0.10,-0.03,0.00,
0.18,0.12,0.55,0.21,0.09,-0.02,0.00,
0.18,-0.01,0.74,-0.06,0.09,-0.02,0.00,
0.182,-0.01,0.74,-0.06,0.09,-0.02,0.01,
0.185,-0.01,0.74,-0.06,0.08,-0.01,0.01,
