
time,ax,ay,az,wx,wy,wz,
0.002,1.34,1.16,1.05,-0.06,-1.02,-0.70,
0.002,1.34,1.16,1.05,-0.10,-1.06,-0.75,
0.003,2.25,1.77,0.60,-0.10,-1.06,-0.75,
0.003,2.25,1.77,0.60,-0.13,-1.09,-0.80,
0.004,2.25,1.77,0.60,-0.16,-1.12,-0.84,
0.004,2.86,2.52,-0.11,-0.16,-1.12,-0.84,
0.006,2.86,2.52,-0.11,-0.19,-1.15,-0.88,
0.008,2.86,2.52,-0.11,-0.20,-1.17,-0.91,
0.009,2.89,3.06,-0.41,-0.20,-1.17,-0.91,
0.013,2.89,3.06,-0.41,-0.21,-1.18,-0.92,
0.014,2.89,3.06,-0.41,-0.21,-1.17,-0.91,
0.014,2.21,3.06,-0.41,-0.21,-1.17,-0.91,
0.016,2.21,3.06,-0.41,-0.21,-1.15,-0.89,
0.018,2.21,3.06,-0.41,-0.21,-1.13,-0.86,
0.019,1.33,2.67,-0.15,-0.21,-1.13,-0.86,
0.022,1.33,2.67,-0.15,-0.21,-1.10,-0.84,
0.024,1.33,2.67,-0.15,-0.21,-1.08,-0.82,
0.024,0.98,2.22,0.25,-0.21,-1.08,-0.82,
0.027,0.98,2.22,0.25,-0.20,-1.06,-0.80,
0.029,0.78,1.93,0.64,-0.20,-1.06,-0.80,
0.03,0.78,1.93,0.64,-0.18,-1.06,-0.79,
0.031,0.78,1.93,0.64,-0.16,-1.05,-0.79,
0.034,0.78,1.93,0.64,-0.13,-1.06,-0.78,
0.034,0.50,1.62,0.84,-0.13,-1.06,-0.78,
0.036,0.50,1.62,0.84,-0.10,-1.05,-0.78,
0.038,0.50,1.62,0.84,-0.07,-1.03,-0.78,
0.038,0.31,1.25,0.89,-0.07,-1.03,-0.78,
0.05,0.31,1.25,0.89,-0.05,-1.00,-0.77,
0.051,0.31,1.25,0.89,-0.05,-0.96,-0.77,
0.051,0.44,0.90,0.85,-0.05,-0.96,-0.77,
0.051,0.59,0.61,0.78,-0.05,-0.96,-0.77,
0.051,0.59,0.61,0.78,-0.05,-0.90,-0.76,
0.051,0.59,0.61,0.78,-0.07,-0.83,-0.75,
0.052,0.59,0.61,0.78,-0.10,-0.75,-0.74,
0.053,0.59,0.61,0.78,-0.13,-0.65,-0.74,
0.054,0.76,0.38,0.87,-0.13,-0.65,-0.74,
0.056,0.76,0.38,0.87,-0.18,-0.55,-0.72,
0.058,0.76,0.38,0.87,-0.22,-0.44,-0.71,
0.058,0.86,0.21,1.13,-0.22,-0.44,-0.71,
0.06,0.86,0.21,1.13,-0.27,-0.33,-0.70,
0.064,0.97,0.01,1.58,-0.27,-0.33,-0.70,
0.064,0.97,0.01,1.58,-0.31,-0.23,-0.68,
0.065,0.97,0.01,1.58,-0.35,-0.14,-0.66,
0.068,1.04,-0.22,2.09,-0.35,-0.14,-0.66,
