
time,ax,ay,az,wx,wy,wz,
0.003,-0.00,0.30,-0.67,0.33,-0.37,-0.10,
0.004,-0.00,0.30,-0.67,0.28,-0.27,-0.11,
0.004,-0.20,0.53,-0.94,0.28,-0.27,-0.11,
0.004,-0.20,0.53,-0.94,0.23,-0.17,-0.11,
0.004,-0.20,0.53,-0.94,0.18,-0.09,-0.10,
0.005,-0.54,0.65,-0.88,0.18,-0.09,-0.10,
0.005,-0.54,0.65,-0.88,0.13,-0.02,-0.08,
0.007,-0.54,0.65,-0.88,0.09,0.04,-0.06,
0.01,-0.87,0.66,-0.61,0.09,0.04,-0.06,
0.01,-0.87,0.66,-0.61,0.05,0.09,-0.02,
0.019,-0.87,0.66,-0.61,0.02,0.14,0.02,
0.019,-0.87,0.66,-0.61,-0.01,0.18,0.06,
0.019,-1.08,0.69,-0.22,-0.01,0.18,0.06,
0.019,-1.08,0.69,-0.22,-0.03,0.21,0.10,
0.071,-1.08,0.69,-0.22,-0.04,0.23,0.14,
0.072,-1.14,0.66,0.18,-0.04,0.23,0.14,
0.072,-1.14,0.66,0.18,-0.05,0.24,0.18,
0.072,-1.14,0.66,0.18,-0.05,0.25,0.21,
0.072,-1.09,0.56,0.52,-0.05,0.25,0.21,
0.072,-1.09,0.56,0.52,-0.05,0.24,0.24,
0.072,-0.96,0.40,0.75,-0.05,0.24,0.24,
0.072,-0.96,0.40,0.75,-0.05,0.23,0.26,
0.073,-0.96,0.40,0.75,-0.04,0.21,0.27,
0.073,-0.96,0.40,0.75,-0.04,0.19,0.28,
0.073,-0.79,0.29,0.86,-0.04,0.19,0.28,
0.073,-0.79,0.29,0.86,-0.03,0.17,0.28,
0.073,-0.79,0.29,0.86,-0.03,0.15,0.28,
0.073,-0.65,0.23,0.88,-0.03,0.15,0.28,
0.073,-0.65,0.23,0.88,-0.02,0.13,0.28,
0.073,-0.52,0.18,0.81,-0.02,0.13,0.28,
0.073,-0.52,0.18,0.81,-0.01,0.11,0.27,
0.074,-0.52,0.18,0.81,-0.01,0.09,0.27,
0.074,-0.34,0.11,0.75,-0.01,0.09,0.27,
0.075,-0.34,0.11,0.75,-0.00,0.07,0.26,
0.076,-0.34,0.11,0.75,0.00,0.06,0.25,
0.076,-0.34,0.11,0.75,0.01,0.05,0.24,
0.076,-0.14,0.07,0.72,0.01,0.05,0.24,
0.076,-0.14,0.07,0.72,0.01,0.04,0.22,
0.077,-0.14,0.07,0.72,0.02,0.04,0.21,
0.077,-0.01,0.05,0.72,0.02,0.04,0.21,
0.077,-0.01,0.05,0.72,0.03,0.03,0.19,
0.077,-0.01,0.05,0.72,0.04,0.03,0.17,
0.077,0.05,-0.00,0.82,0.04,0.03,0.17,
0.078,0.05,-0.00,0.82,0.05,0.02,0.15,
0.078,0.05,-0.00,0.82,0.06,0.01,0.13,
0.078,0.03,-0.06,0.91,0.06,0.01,0.13,
0.078,0.03,-0.06,0.91,0.07,0.01,0.10,
0.078,0.03,-0.06,0.91,0.09,0.00,0.08,
0.078,-0.03,-0.09,0.96,0.09,0.00,0.08,
0.079,-0.03,-0.09,0.96,0.10,0.00,0.06,
0.081,-0.07,-0.10,0.97,0.10,0.00,0.06,
0.081,-0.07,-0.10,0.97,0.11,-0.00,0.04,
0.083,-0.07,-0.10,0.97,0.13,-0.01,0.02,
0.084,-0.07,-0.10,0.97,0.15,-0.01,0.00,
0.085,-0.11,-0.09,0.95,0.15,-0.01,0.00,
0.088,-0.11,-0.09,0.95,0.16,-0.01,-0.01,
0.089,-0.10,-0.07,0.85,0.16,-0.01,-0.01,
0.09,-0.10,-0.07,0.85,0.18,-0.01,-0.02,
0.092,-0.10,-0.07,0.85,0.20,0.01,-0.03,
0.095,-0.07,-0.00,0.77,0.20,0.01,-0.03,
0.095,-0.07,-0.00,0.77,0.22,0.02,-0.04,
0.098,-0.07,-0.00,0.77,0.23,0.04,-0.05,
0.099,-0.07,-0.00,0.77,0.25,0.06,-0.05,
0.099,-0.05,0.02,0.73,0.25,0.06,-0.05,
0.102,-0.05,0.02,0.73,0.27,0.08,-0.06,
0.104,-0.04,0.07,0.66,0.27,0.08,-0.06,
0.104,-0.04,0.07,0.66,0.28,0.11,-0.06,
0.106,-0.04,0.07,0.66,0.30,0.15,-0.06,
0.109,0.00,0.11,0.55,0.30,0.15,-0.06,
0.11,0.00,0.11,0.55,0.31,0.20,-0.06,
0.111,0.00,0.11,0.55,0.33,0.25,-0.06,
0.116,0.00,0.11,0.55,0.35,0.29,-0.06,
0.116,0.04,0.14,0.44,0.35,0.29,-0.06,
0.116,0.04,0.14,0.44,0.36,0.33,-0.05,
0.12,0.04,0.14,0.44,0.37,0.37,-0.05,
0.121,-0.01,0.17,0.42,0.37,0.37,-0.05,
0.123,-0.01,0.17,0.42,0.38,0.39,-0.04,
0.124,-0.01,0.17,0.42,0.39,0.40,-0.03,
0.124,-0.07,0.18,0.37,0.39,0.40,-0.03,
0.127,-0.07,0.18,0.37,0.38,0.41,-0.01,
0.134,-0.07,0.18,0.37,0.36,0.45,0.02,
0.135,-0.45,-0.91,-0.08,0.36,0.45,0.02,
0.135,-0.45,-0.91,-0.08,0.32,0.53,0.04,
0.135,-0.45,-0.91,-0.08,0.28,0.60,0.05,
0.135,0.21,-0.43,-0.22,0.28,0.60,0.05,
0.136,0.21,-0.43,-0.22,0.24,0.63,0.06,
0.139,0.21,-0.43,-0.22,0.19,0.62,0.07,
0.139,0.38,0.02,-0.29,0.19,0.62,0.07,
0.141,0.38,0.02,-0.29,0.13,0.58,0.07,
0.144,0.38,0.02,-0.29,0.08,0.52,0.06,
0.144,0.44,0.10,-0.37,0.08,0.52,0.06,
0.146,0.44,0.10,-0.37,0.03,0.45,0.05,
0.149,-0.35,-0.69,-0.65,0.03,0.45,0.05,
0.149,-0.35,-0.69,-0.65,-0.04,0.40,0.02,
0.151,-0.35,-0.69,-0.65,-0.10,0.33,-0.00,
0.154,-0.35,-0.69,-0.65,-0.17,0.24,-0.02,
0.154,0.20,-0.54,-0.30,-0.17,0.24,-0.02,
0.156,0.20,-0.54,-0.30,-0.23,0.17,-0.03,
0.158,0.20,-0.54,-0.30,-0.30,0.11,-0.04,
0.159,0.42,-0.45,-0.36,-0.30,0.11,-0.04,
0.161,0.42,-0.45,-0.36,-0.36,0.06,-0.04,
0.164,0.22,-0.59,-0.50,-0.36,0.06,-0.04,
0.164,0.22,-0.59,-0.50,-0.43,0.01,-0.03,
0.166,0.22,-0.59,-0.50,-0.49,-0.04,-0.02,
0.169,-0.19,-0.93,-0.57,-0.49,-0.04,-0.02,
0.169,-0.19,-0.93,-0.57,-0.56,-0.09,-0.01,
0.171,-0.19,-0.93,-0.57,-0.63,-0.13,-0.00,
0.174,-0.19,-0.93,-0.57,-0.71,-0.18,-0.00,
0.174,-0.38,-1.16,-0.49,-0.71,-0.18,-0.00,
0.176,-0.38,-1.16,-0.49,-0.78,-0.22,-0.01,
0.178,-0.38,-1.16,-0.49,-0.84,-0.26,-0.02,
0.179,-0.25,-1.15,-0.21,-0.84,-0.26,-0.02,
0.182,-0.25,-1.15,-0.21,-0.89,-0.30,-0.05,
0.183,-0.25,-1.15,-0.21,-0.90,-0.38,-0.11,
0.184,0.40,-0.45,0.57,-0.90,-0.38,-0.11,
0.186,0.40,-0.45,0.57,-0.89,-0.48,-0.20,
0.188,0.40,-0.45,0.57,-0.86,-0.55,-0.29,
