
time,ax,ay,az,wx,wy,wz,
0.001,-0.30,-0.02,0.12,0.00,-0.01,0.01,
0.002,-0.30,-0.02,0.12,0.00,-0.01,0.01,
0.002,-0.32,0.02,0.19,0.00,-0.01,0.01,
0.002,-0.32,0.02,0.19,0.00,-0.01,0.01,
0.003,-0.32,0.02,0.19,0.00,-0.01,0.01,
0.004,-0.29,-0.03,0.26,0.00,-0.01,0.01,
0.005,-0.29,-0.03,0.26,0.01,-0.01,0.01,
0.009,-0.29,-0.03,0.26,0.00,-0.01,0.01,
0.01,-0.23,-0.09,0.22,0.00,-0.01,0.01,
0.01,-0.23,-0.09,0.22,0.01,-0.02,0.01,
0.013,-0.23,-0.09,0.22,0.00,-0.01,0.01,
0.014,-0.18,-0.12,0.10,0.00,-0.01,0.01,
0.015,-0.18,-0.12,0.10,0.00,-0.01,0.01,
0.018,-0.18,-0.12,0.10,0.00,-0.01,0.01,
0.018,-0.17,-0.07,0.05,0.00,-0.01,0.01,
0.02,-0.17,-0.07,0.05,0.00,-0.01,0.01,
0.023,-0.17,-0.07,0.05,0.00,-0.01,0.01,
0.023,-0.24,-0.03,0.08,0.00,-0.01,0.01,
0.025,-0.24,-0.03,0.08,0.00,-0.00,0.01,
0.028,-0.24,-0.03,0.08,0.00,-0.00,0.01,
0.029,-0.31,-0.05,0.11,0.00,-0.00,0.01,
0.032,-0.31,-0.05,0.11,-0.00,-0.00,0.01,
0.033,-0.31,-0.05,0.11,0.00,-0.00,0.02,
0.033,-0.34,-0.09,0.16,0.00,-0.00,0.02,
0.035,-0.34,-0.09,0.16,0.00,-0.01,0.02,
0.037,-0.34,-0.09,0.16,-0.00,-0.01,0.02,
0.038,-0.26,-0.16,0.22,-0.00,-0.01,0.02,
0.042,-0.26,-0.16,0.22,-0.00,-0.01,0.02,
0.042,-0.16,-0.17,0.22,-0.00,-0.01,0.02,
0.043,-0.16,-0.17,0.22,-0.00,-0.01,0.02,
0.045,-0.16,-0.17,0.22,-0.00,-0.01,0.02,
0.048,-0.16,-0.17,0.22,-0.00,-0.00,0.02,
0.048,-0.10,-0.16,0.17,-0.00,-0.00,0.02,
0.05,-0.10,-0.16,0.17,-0.00,-0.00,0.02,
0.052,-0.10,-0.16,0.17,-0.00,0.00,0.02,
0.053,-0.10,-0.09,0.15,-0.00,0.00,0.02,
0.055,-0.10,-0.09,0.15,-0.00,0.01,0.02,
0.057,-0.10,-0.09,0.15,-0.00,0.01,0.02,
0.058,-0.16,-0.07,0.15,-0.00,0.01,0.02,
0.06,-0.16,-0.07,0.15,-0.00,0.01,0.02,
0.07,-0.16,-0.07,0.15,0.00,0.01,0.02,
0.07,-0.17,-0.09,0.14,0.00,0.01,0.02,
0.07,-0.17,-0.09,0.14,0.00,0.01,0.02,
0.071,-0.17,-0.09,0.14,0.00,0.01,0.02,
0.071,-0.12,-0.13,0.15,0.00,0.01,0.02,
0.071,-0.12,-0.13,0.15,0.00,0.00,0.02,
0.073,-0.12,-0.13,0.15,0.00,0.00,0.02,
0.074,-0.07,-0.15,0.12,0.00,0.00,0.02,
0.075,-0.07,-0.15,0.12,-0.00,0.00,0.02,
0.077,-0.07,-0.15,0.12,0.00,0.00,0.02,
0.077,-0.02,-0.19,0.14,0.00,0.00,0.02,
0.08,-0.02,-0.19,0.14,0.00,0.00,0.02,
0.082,-0.02,-0.19,0.14,0.00,0.01,0.02,
0.083,0.04,-0.22,0.20,0.00,0.01,0.02,
0.085,0.04,-0.22,0.20,0.00,0.01,0.02,
0.092,0.04,-0.22,0.20,0.01,0.01,0.02,
0.092,0.05,-0.23,0.27,0.01,0.01,0.02,
0.093,0.05,-0.23,0.27,0.01,0.01,0.01,
0.093,0.05,-0.23,0.27,0.01,0.01,0.01,
0.093,-0.03,-0.22,0.22,0.01,0.01,0.01,
0.095,-0.03,-0.22,0.22,0.01,0.01,0.01,
