
time,ax,ay,az,wx,wy,wz,
0.002,0.23,0.22,-0.12,0.16,0.08,-0.22,
0.002,0.04,0.34,-0.13,0.16,0.08,-0.22,
0.002,0.04,0.34,-0.13,0.15,0.09,-0.21,
0.002,0.04,0.34,-0.13,0.13,0.09,-0.20,
0.003,0.04,0.34,-0.13,0.11,0.09,-0.19,
0.004,-0.12,0.39,-0.19,0.11,0.09,-0.19,
0.005,-0.12,0.39,-0.19,0.09,0.09,-0.18,
0.008,-0.12,0.39,-0.19,0.07,0.08,-0.16,
0.008,-0.20,0.39,-0.38,0.07,0.08,-0.16,
0.013,-0.20,0.39,-0.38,0.05,0.08,-0.15,
0.013,-0.20,0.39,-0.38,0.02,0.08,-0.13,
0.013,-0.22,0.37,-0.57,0.02,0.08,-0.13,
0.015,-0.22,0.37,-0.57,-0.01,0.07,-0.12,
0.018,-0.17,0.35,-0.69,-0.01,0.07,-0.12,
0.018,-0.17,0.35,-0.69,-0.04,0.05,-0.11,
0.02,-0.17,0.35,-0.69,-0.06,0.04,-0.10,
0.023,-0.17,0.35,-0.69,-0.09,0.02,-0.09,
0.023,-0.06,0.29,-0.62,-0.09,0.02,-0.09,
0.025,-0.06,0.29,-0.62,-0.11,0.00,-0.09,
0.03,-0.06,0.29,-0.62,-0.12,-0.02,-0.09,
0.031,0.04,0.24,-0.40,-0.12,-0.02,-0.09,
0.031,0.04,0.24,-0.40,-0.13,-0.04,-0.09,
0.033,0.08,0.21,-0.08,-0.13,-0.04,-0.09,
0.033,0.08,0.21,-0.08,-0.13,-0.05,-0.09,
0.035,0.08,0.21,-0.08,-0.13,-0.07,-0.09,
0.038,0.10,0.16,0.21,-0.13,-0.07,-0.09,
0.038,0.10,0.16,0.21,-0.13,-0.08,-0.10,
0.04,0.10,0.16,0.21,-0.12,-0.09,-0.10,
0.043,0.11,0.14,0.41,-0.12,-0.09,-0.10,
0.043,0.11,0.14,0.41,-0.10,-0.09,-0.10,
0.047,0.11,0.14,0.41,-0.08,-0.10,-0.10,
0.048,0.11,0.14,0.41,-0.06,-0.10,-0.10,
0.048,0.14,0.11,0.49,-0.06,-0.10,-0.10,
0.05,0.14,0.11,0.49,-0.04,-0.11,-0.11,
0.053,0.17,0.10,0.50,-0.04,-0.11,-0.11,
0.053,0.17,0.10,0.50,-0.02,-0.11,-0.11,
0.055,0.17,0.10,0.50,-0.01,-0.11,-0.11,
0.057,0.22,0.08,0.41,-0.01,-0.11,-0.11,
0.058,0.22,0.08,0.41,0.01,-0.10,-0.12,
0.06,0.22,0.08,0.41,0.02,-0.10,-0.12,
0.064,0.25,0.08,0.30,0.02,-0.10,-0.12,
0.064,0.25,0.08,0.30,0.04,-0.10,-0.13,
0.065,0.25,0.08,0.30,0.05,-0.09,-0.13,
0.068,0.25,0.08,0.30,0.06,-0.08,-0.14,
0.068,0.29,0.11,0.13,0.06,-0.08,-0.14,
0.07,0.29,0.11,0.13,0.06,-0.07,-0.14,
0.072,0.28,0.13,-0.00,0.06,-0.07,-0.14,
0.073,0.28,0.13,-0.00,0.06,-0.07,-0.15,
0.075,0.28,0.13,-0.00,0.07,-0.06,-0.15,
0.079,0.28,0.13,-0.00,0.07,-0.05,-0.15,
0.079,0.27,0.16,-0.10,0.07,-0.05,-0.15,
0.08,0.27,0.16,-0.10,0.07,-0.04,-0.15,
0.082,0.27,0.16,-0.10,0.07,-0.04,-0.15,
0.083,0.25,0.18,-0.15,0.07,-0.04,-0.15,
0.085,0.25,0.18,-0.15,0.07,-0.03,-0.15,
0.087,0.25,0.24,-0.19,0.07,-0.03,-0.15,
0.087,0.25,0.24,-0.19,0.06,-0.03,-0.14,
0.09,0.25,0.24,-0.19,0.06,-0.02,-0.14,
0.092,0.25,0.24,-0.19,0.06,-0.02,-0.14,
0.093,0.22,0.25,-0.19,0.06,-0.02,-0.14,
0.096,0.22,0.25,-0.19,0.05,-0.02,-0.14,
0.097,0.22,0.25,-0.19,0.05,-0.02,-0.13,
0.098,0.24,0.26,-0.19,0.05,-0.02,-0.13,
0.1,0.24,0.26,-0.19,0.04,-0.02,-0.13,
0.103,0.25,0.25,-0.19,0.04,-0.02,-0.13,
0.103,0.25,0.25,-0.19,0.04,-0.03,-0.12,
0.105,0.25,0.25,-0.19,0.04,-0.03,-0.12,
0.107,0.25,0.25,-0.19,0.03,-0.03,-0.11,
0.107,0.27,0.23,-0.22,0.03,-0.03,-0.11,
0.109,0.27,0.23,-0.22,0.02,-0.03,-0.11,
0.114,0.29,0.21,-0.25,0.02,-0.03,-0.11,
0.114,0.29,0.21,-0.25,0.01,-0.03,-0.11,
0.114,0.29,0.21,-0.25,0.01,-0.04,-0.11,
0.117,0.33,0.18,-0.29,0.01,-0.04,-0.11,
0.118,0.33,0.18,-0.29,0.00,-0.04,-0.11,
0.12,0.33,0.18,-0.29,-0.01,-0.04,-0.10,
0.122,0.33,0.18,-0.29,-0.01,-0.04,-0.10,
0.123,0.34,0.17,-0.28,-0.01,-0.04,-0.10,
0.125,0.34,0.17,-0.28,-0.02,-0.03,-0.10,
0.127,0.34,0.17,-0.28,-0.03,-0.04,-0.10,
0.127,0.34,0.17,-0.29,-0.03,-0.04,-0.10,
0.13,0.34,0.17,-0.29,-0.03,-0.04,-0.11,
0.132,0.34,0.17,-0.29,-0.04,-0.04,-0.11,
0.132,0.35,0.19,-0.29,-0.04,-0.04,-0.11,
0.134,0.35,0.19,-0.29,-0.05,-0.04,-0.11,
0.137,0.33,0.20,-0.27,-0.05,-0.04,-0.11,
0.137,0.33,0.20,-0.27,-0.05,-0.04,-0.11,
0.139,0.33,0.20,-0.27,-0.06,-0.04,-0.11,
0.142,0.33,0.20,-0.27,-0.06,-0.04,-0.11,
0.142,0.28,0.20,-0.25,-0.06,-0.04,-0.11,
0.146,0.28,0.20,-0.25,-0.06,-0.04,-0.11,
0.147,0.28,0.20,-0.25,-0.07,-0.05,-0.11,
0.147,0.24,0.20,-0.19,-0.07,-0.05,-0.11,
0.149,0.24,0.20,-0.19,-0.07,-0.05,-0.12,
0.152,0.24,0.20,-0.19,-0.06,-0.05,-0.12,
0.152,0.20,0.21,-0.11,-0.06,-0.05,-0.12,
0.154,0.20,0.21,-0.11,-0.06,-0.06,-0.12,
0.157,0.20,0.21,-0.11,-0.06,-0.06,-0.12,
0.157,0.16,0.19,-0.08,-0.06,-0.06,-0.12,
0.159,0.16,0.19,-0.08,-0.05,-0.06,-0.12,
0.162,0.16,0.19,-0.08,-0.05,-0.06,-0.12,
0.162,0.16,0.19,-0.05,-0.05,-0.06,-0.12,
0.164,0.16,0.19,-0.05,-0.04,-0.06,-0.12,
0.167,0.16,0.19,-0.05,-0.04,-0.06,-0.12,
0.167,0.17,0.20,-0.05,-0.04,-0.06,-0.12,
0.169,0.17,0.20,-0.05,-0.03,-0.06,-0.12,
0.172,0.17,0.20,-0.05,-0.02,-0.06,-0.12,
0.172,0.18,0.18,-0.06,-0.02,-0.06,-0.12,
0.174,0.18,0.18,-0.06,-0.02,-0.06,-0.12,
