
time,ax,ay,az,wx,wy,wz,
0.002,-0.41,-0.22,0.47,0.08,-0.78,-0.35,
0.003,-0.41,-0.22,0.47,0.13,-0.71,-0.34,
0.003,-0.41,-0.22,0.47,0.17,-0.63,-0.33,
0.003,-0.41,-0.22,0.47,0.21,-0.55,-0.32,
0.003,-0.08,0.03,0.20,0.21,-0.55,-0.32,
0.003,-0.08,0.03,0.20,0.24,-0.46,-0.32,
0.004,-0.08,0.03,0.20,0.26,-0.37,-0.32,
0.004,0.18,0.17,-0.00,0.26,-0.37,-0.32,
0.004,0.18,0.17,-0.00,0.28,-0.29,-0.33,
0.009,0.31,0.19,-0.16,0.28,-0.29,-0.33,
0.01,0.31,0.19,-0.16,0.29,-0.22,-0.33,
0.01,0.31,0.19,-0.16,0.30,-0.15,-0.34,
0.012,0.31,0.19,-0.16,0.30,-0.10,-0.34,
0.012,0.31,0.14,-0.24,0.30,-0.10,-0.34,
0.013,0.31,0.14,-0.24,0.29,-0.06,-0.34,
0.016,0.31,0.14,-0.24,0.27,-0.03,-0.34,
0.016,0.20,-0.01,-0.24,0.27,-0.03,-0.34,
0.019,0.20,-0.01,-0.24,0.26,-0.01,-0.34,
0.022,0.20,-0.01,-0.24,0.23,0.00,-0.34,
0.022,0.10,-0.13,-0.19,0.23,0.00,-0.34,
0.026,0.05,-0.17,-0.04,0.23,0.00,-0.34,
0.026,0.05,-0.17,-0.04,0.21,-0.00,-0.34,
0.027,0.05,-0.17,-0.04,0.18,-0.02,-0.34,
0.029,0.05,-0.17,-0.04,0.16,-0.05,-0.34,
0.031,0.05,-0.17,-0.04,0.13,-0.09,-0.34,
0.031,-0.02,-0.23,0.06,0.13,-0.09,-0.34,
0.033,-0.02,-0.23,0.06,0.11,-0.13,-0.34,
0.036,-0.02,-0.23,0.06,0.08,-0.17,-0.35,
0.036,-0.02,-0.30,0.09,0.08,-0.17,-0.35,
0.038,-0.02,-0.30,0.09,0.05,-0.22,-0.35,
0.043,-0.02,-0.30,0.09,0.02,-0.26,-0.35,
0.043,0.01,-0.33,0.09,0.02,-0.26,-0.35,
0.045,0.01,-0.33,0.09,-0.01,-0.30,-0.36,
0.046,0.01,-0.33,0.09,-0.03,-0.34,-0.36,
0.046,0.07,-0.33,0.10,-0.03,-0.34,-0.36,
0.048,0.07,-0.33,0.10,-0.05,-0.37,-0.37,
0.051,0.07,-0.33,0.10,-0.08,-0.39,-0.37,
0.051,0.14,-0.27,0.10,-0.08,-0.39,-0.37,
0.054,0.14,-0.27,0.10,-0.09,-0.41,-0.37,
0.056,0.14,-0.27,0.10,-0.11,-0.42,-0.38,
0.056,0.18,-0.24,0.12,-0.11,-0.42,-0.38,
0.058,0.18,-0.24,0.12,-0.12,-0.42,-0.38,
0.061,0.18,-0.24,0.12,-0.12,-0.42,-0.38,
0.061,0.21,-0.22,0.18,-0.12,-0.42,-0.38,
0.063,0.21,-0.22,0.18,-0.12,-0.41,-0.38,
0.066,0.21,-0.22,0.18,-0.12,-0.40,-0.39,
0.067,0.25,-0.25,0.25,-0.12,-0.40,-0.39,
0.068,0.25,-0.25,0.25,-0.12,-0.39,-0.39,
0.07,0.25,-0.25,0.25,-0.11,-0.38,-0.39,
0.071,0.27,-0.28,0.30,-0.11,-0.38,-0.39,
0.074,0.27,-0.28,0.30,-0.10,-0.36,-0.39,
0.076,0.27,-0.28,0.30,-0.09,-0.35,-0.40,
0.077,0.25,-0.30,0.38,-0.09,-0.35,-0.40,
0.077,0.25,-0.30,0.38,-0.07,-0.34,-0.40,
0.081,0.25,-0.30,0.38,-0.06,-0.32,-0.40,
0.081,0.23,-0.35,0.45,-0.06,-0.32,-0.40,
0.083,0.23,-0.35,0.45,-0.04,-0.31,-0.40,
0.085,0.23,-0.35,0.45,-0.03,-0.31,-0.40,
0.085,0.22,-0.37,0.50,-0.03,-0.31,-0.40,
0.088,0.22,-0.37,0.50,-0.01,-0.30,-0.40,
0.091,0.22,-0.37,0.50,0.01,-0.29,-0.41,
0.091,0.18,-0.38,0.53,0.01,-0.29,-0.41,
0.093,0.18,-0.38,0.53,0.03,-0.29,-0.41,
