
time,ax,ay,az,wx,wy,wz,
0.003,0.01,0.02,-0.07,0.01,0.00,-0.01,
0.003,0.01,0.02,-0.07,0.01,0.00,-0.01,
0.004,0.04,0.02,-0.07,0.01,0.00,-0.01,
0.004,0.04,0.02,-0.07,0.01,0.00,-0.01,
0.004,0.06,0.02,-0.07,0.01,0.00,-0.01,
0.004,0.06,0.02,-0.07,0.01,0.00,-0.01,
0.004,0.06,0.02,-0.07,0.00,0.00,-0.01,
0.004,0.08,0.03,-0.05,0.00,0.00,-0.01,
0.004,0.08,0.03,-0.05,0.00,0.00,-0.01,
0.004,0.08,0.03,-0.05,0.00,0.00,-0.01,
0.005,0.08,0.03,-0.05,-0.00,0.01,-0.01,
0.005,0.06,-0.00,-0.04,-0.00,0.01,-0.01,
0.006,0.06,-0.00,-0.04,-0.00,0.01,-0.01,
0.01,0.04,-0.01,-0.03,-0.00,0.01,-0.01,
0.01,0.04,-0.01,-0.03,-0.00,0.01,-0.01,
0.011,0.04,-0.01,-0.03,-0.00,0.01,-0.01,
0.013,0.04,-0.01,-0.03,-0.00,0.01,-0.01,
0.014,0.00,0.01,-0.04,-0.00,0.01,-0.01,
0.016,0.00,0.01,-0.04,-0.00,0.00,-0.01,
0.018,0.00,0.01,-0.04,-0.00,0.01,-0.01,
0.02,0.01,-0.00,-0.03,-0.00,0.01,-0.01,
0.022,0.01,-0.00,-0.03,-0.00,0.00,-0.01,
0.023,-0.01,0.00,-0.02,-0.00,0.00,-0.01,
0.024,-0.01,0.00,-0.02,-0.00,0.00,-0.02,
0.026,-0.01,0.00,-0.02,-0.00,0.00,-0.01,
0.03,-0.01,-0.01,-0.02,-0.00,0.00,-0.01,
0.03,-0.01,-0.01,-0.02,-0.00,0.00,-0.01,
0.031,-0.01,-0.01,-0.02,-0.01,0.00,-0.01,
0.034,-0.02,-0.02,0.01,-0.01,0.00,-0.01,
0.034,-0.02,-0.02,0.01,-0.01,0.00,-0.01,
0.036,-0.02,-0.02,0.01,-0.00,0.00,-0.01,
0.039,-0.02,-0.02,0.01,-0.01,0.00,-0.01,
0.04,-0.03,-0.00,0.06,-0.01,0.00,-0.01,
0.041,-0.03,-0.00,0.06,-0.00,0.00,-0.01,
0.043,-0.03,-0.00,0.06,-0.00,-0.00,-0.01,
0.044,-0.01,-0.01,0.09,-0.00,-0.00,-0.01,
0.045,-0.01,-0.01,0.09,-0.00,-0.00,-0.01,
0.049,-0.01,-0.01,0.09,0.00,-0.00,-0.01,
0.049,0.00,-0.02,0.08,0.00,-0.00,-0.01,
0.05,0.00,-0.02,0.08,0.00,-0.01,-0.01,
0.053,0.00,-0.02,0.08,0.00,-0.01,-0.01,
0.053,-0.01,-0.02,0.01,0.00,-0.01,-0.01,
0.056,-0.01,-0.02,0.01,0.00,-0.00,-0.01,
0.058,-0.01,-0.02,0.01,0.00,-0.01,-0.01,
0.058,-0.01,-0.01,0.02,0.00,-0.01,-0.01,
0.06,-0.01,-0.01,0.02,0.00,-0.01,-0.01,
0.063,-0.01,-0.01,0.02,0.00,-0.01,-0.01,
0.063,-0.02,0.01,0.01,0.00,-0.01,-0.01,
0.065,-0.02,0.01,0.01,0.00,-0.01,-0.01,
0.068,-0.02,0.03,0.03,0.00,-0.01,-0.01,
0.069,-0.02,0.03,0.03,0.00,-0.00,-0.01,
0.07,-0.02,0.03,0.03,0.00,-0.01,-0.01,
0.073,-0.02,0.03,0.03,0.01,-0.00,-0.01,
0.073,-0.00,0.03,0.05,0.01,-0.00,-0.01,
0.075,-0.00,0.03,0.05,0.01,-0.00,-0.01,
0.078,-0.00,0.03,0.05,0.01,-0.00,-0.01,
0.078,-0.00,0.01,0.03,0.01,-0.00,-0.01,
0.08,-0.00,0.01,0.03,0.01,-0.00,-0.01,
0.083,-0.00,0.01,0.03,0.01,-0.00,-0.01,
0.083,-0.03,-0.02,0.00,0.01,-0.00,-0.01,
0.085,-0.03,-0.02,0.00,0.01,-0.00,-0.01,
0.088,-0.03,-0.03,-0.01,0.01,-0.00,-0.01,
0.089,-0.03,-0.03,-0.01,0.01,-0.00,-0.01,
0.09,-0.03,-0.03,-0.01,0.01,-0.00,-0.01,
0.093,-0.06,-0.01,-0.02,0.01,-0.00,-0.01,
0.093,-0.06,-0.01,-0.02,0.01,0.00,-0.01,
0.095,-0.06,-0.01,-0.02,0.01,0.00,-0.01,
0.098,-0.06,-0.01,-0.02,0.01,0.00,-0.01,
0.098,-0.02,0.00,-0.01,0.01,0.00,-0.01,
0.1,-0.02,0.00,-0.01,0.01,-0.00,-0.01,
0.103,0.02,0.03,0.02,0.01,-0.00,-0.01,
0.104,0.02,0.03,0.02,0.01,-0.00,-0.01,
0.105,0.02,0.03,0.02,0.01,-0.01,-0.00,
0.107,0.02,0.03,0.02,0.01,-0.01,-0.01,
0.108,0.04,0.01,0.01,0.01,-0.01,-0.01,
0.11,0.04,0.01,0.01,0.01,-0.01,-0.01,
0.113,0.07,-0.01,-0.01,0.01,-0.01,-0.01,
0.113,0.07,-0.01,-0.01,0.01,-0.01,-0.01,
0.115,0.07,-0.01,-0.01,0.01,-0.01,-0.01,
0.117,0.07,-0.01,-0.01,0.01,-0.01,-0.01,
0.117,0.06,-0.01,-0.02,0.01,-0.01,-0.01,
0.12,0.06,-0.01,-0.02,0.01,-0.01,-0.01,
0.122,0.06,-0.01,-0.02,0.01,-0.01,-0.01,
0.123,0.03,0.02,-0.00,0.01,-0.01,-0.01,
0.125,0.03,0.02,-0.00,0.01,-0.01,-0.01,
0.128,0.02,0.02,-0.01,0.01,-0.01,-0.01,
0.128,0.02,0.02,-0.01,0.01,-0.01,-0.01,
0.132,0.02,0.02,-0.01,0.01,-0.01,-0.01,
0.132,0.00,0.02,0.02,0.01,-0.01,-0.01,
0.132,0.00,0.02,0.02,0.01,-0.01,-0.01,
0.137,0.00,0.02,0.02,0.01,-0.01,-0.01,
0.137,0.00,0.02,0.02,0.01,-0.02,-0.01,
0.139,-0.02,0.02,0.01,0.01,-0.02,-0.01,
0.14,-0.02,0.02,0.01,0.00,-0.02,-0.01,
0.142,-0.02,0.02,0.01,0.00,-0.02,-0.01,
0.142,0.00,-0.00,0.03,0.00,-0.02,-0.01,
0.146,0.00,-0.00,0.03,0.01,-0.02,-0.01,
0.147,0.01,-0.01,0.05,0.01,-0.02,-0.01,
0.148,0.01,-0.01,0.05,0.01,-0.02,-0.01,
0.149,0.01,-0.01,0.05,0.01,-0.01,-0.01,
0.164,0.02,-0.00,0.07,0.01,-0.01,-0.01,
