
time,ax,ay,az,wx,wy,wz,
0.003,-0.44,-0.28,0.14,-0.00,0.00,-0.02,
0.004,-0.49,-0.16,0.09,-0.00,0.00,-0.02,
0.004,-0.49,-0.16,0.09,-0.01,-0.01,-0.02,
0.004,-0.49,-0.16,0.09,-0.01,-0.01,-0.01,
0.004,-0.43,0.03,0.00,-0.01,-0.01,-0.01,
0.004,-0.43,0.03,0.00,-0.01,-0.01,0.00,
0.004,-0.43,0.03,0.00,-0.01,-0.01,0.01,
0.004,-0.27,0.24,-0.05,-0.01,-0.01,0.01,
0.004,-0.27,0.24,-0.05,-0.01,-0.00,0.01,
0.005,-0.27,0.24,-0.05,-0.00,0.00,0.02,
0.005,-0.12,0.38,-0.02,-0.00,0.00,0.02,
0.005,-0.12,0.38,-0.02,-0.00,0.00,0.02,
0.005,-0.12,0.38,-0.02,0.00,0.01,0.02,
0.005,-0.12,0.38,-0.02,0.00,0.00,0.02,
0.007,-0.12,0.38,-0.02,0.01,0.00,0.02,
0.008,-0.11,0.12,0.09,0.01,0.00,0.02,
0.008,-0.19,-0.15,0.15,0.01,0.00,0.02,
0.009,-0.19,-0.15,0.15,0.00,-0.00,0.02,
0.011,-0.19,-0.15,0.15,0.00,-0.01,0.02,
0.012,-0.19,-0.34,0.19,0.00,-0.01,0.02,
0.014,-0.19,-0.34,0.19,0.00,-0.01,0.02,
0.018,-0.19,-0.34,0.19,-0.00,-0.02,0.02,
0.018,-0.11,-0.39,0.25,-0.00,-0.02,0.02,
0.019,-0.11,-0.39,0.25,0.00,-0.03,0.02,
0.021,-0.04,-0.30,0.25,0.00,-0.03,0.02,
0.022,-0.04,-0.30,0.25,0.00,-0.03,0.02,
0.023,-0.04,-0.30,0.25,0.00,-0.03,0.02,
0.026,-0.04,-0.30,0.25,0.01,-0.03,0.02,
0.026,-0.02,-0.13,0.10,0.01,-0.03,0.02,
0.029,-0.02,-0.13,0.10,0.01,-0.03,0.02,
0.031,-0.02,-0.13,0.10,0.00,-0.02,0.02,
