
time,ax,ay,az,wx,wy,wz,
0.003,0.32,0.79,0.47,0.36,0.16,0.06,
0.003,0.33,0.87,0.34,0.36,0.16,0.06,
0.003,0.33,0.87,0.34,0.34,0.16,0.06,
0.003,0.35,0.92,0.32,0.34,0.16,0.06,
0.003,0.35,0.92,0.32,0.32,0.16,0.06,
0.003,0.35,0.92,0.32,0.30,0.16,0.07,
0.004,0.35,0.92,0.32,0.29,0.15,0.07,
0.004,0.20,0.91,0.23,0.29,0.15,0.07,
0.004,0.20,0.91,0.23,0.27,0.15,0.08,
0.004,0.20,0.91,0.23,0.26,0.15,0.09,
0.004,0.08,0.95,0.09,0.26,0.15,0.09,
0.004,0.08,0.95,0.09,0.24,0.14,0.09,
0.006,0.08,0.95,0.09,0.23,0.14,0.10,
0.006,0.08,1.03,0.04,0.23,0.14,0.10,
0.008,0.08,1.03,0.04,0.22,0.13,0.11,
0.011,0.08,1.03,0.04,0.21,0.13,0.11,
0.011,0.20,1.08,0.00,0.21,0.13,0.11,
0.014,0.20,1.08,0.00,0.20,0.12,0.11,
0.016,0.34,1.08,-0.12,0.20,0.12,0.11,
0.016,0.34,1.08,-0.12,0.19,0.11,0.11,
0.018,0.34,1.08,-0.12,0.18,0.10,0.11,
0.021,0.34,1.08,-0.12,0.17,0.09,0.10,
0.021,0.47,1.02,-0.36,0.17,0.09,0.10,
0.023,0.47,1.02,-0.36,0.16,0.08,0.09,
0.026,0.47,1.02,-0.36,0.14,0.07,0.08,
0.026,0.53,0.93,-0.63,0.14,0.07,0.08,
0.029,0.53,0.93,-0.63,0.12,0.06,0.08,
0.031,0.53,0.93,-0.63,0.10,0.05,0.06,
0.031,0.53,0.85,-0.89,0.10,0.05,0.06,
0.033,0.53,0.85,-0.89,0.07,0.05,0.06,
0.036,0.53,0.85,-0.89,0.05,0.05,0.05,
0.036,0.46,0.81,-1.06,0.05,0.05,0.05,
0.038,0.46,0.81,-1.06,0.02,0.04,0.04,
0.041,0.46,0.81,-1.06,-0.00,0.04,0.04,
0.041,0.32,0.72,-1.17,-0.00,0.04,0.04,
0.043,0.32,0.72,-1.17,-0.03,0.04,0.03,
0.046,0.32,0.72,-1.17,-0.06,0.04,0.03,
0.046,0.25,0.65,-1.17,-0.06,0.04,0.03,
0.048,0.25,0.65,-1.17,-0.08,0.04,0.02,
0.056,0.24,0.60,-1.03,-0.08,0.04,0.02,
0.057,0.24,0.60,-1.03,-0.10,0.03,0.02,
0.057,0.24,0.60,-1.03,-0.12,0.03,0.01,
0.057,0.24,0.60,-1.03,-0.13,0.02,0.01,
0.057,0.27,0.59,-0.84,-0.13,0.02,0.01,
0.059,0.27,0.59,-0.84,-0.13,0.01,0.01,
0.06,0.26,0.57,-0.59,-0.13,0.01,0.01,
0.061,0.26,0.57,-0.59,-0.13,0.00,0.00,
0.063,0.26,0.57,-0.59,-0.13,-0.00,0.01,
0.066,0.23,0.59,-0.42,-0.13,-0.00,0.01,
0.066,0.23,0.59,-0.42,-0.12,-0.01,0.01,
0.069,0.23,0.59,-0.42,-0.11,-0.01,0.02,
0.071,0.23,0.59,-0.42,-0.10,-0.00,0.02,
0.072,0.29,0.64,-0.35,-0.10,-0.00,0.02,
0.073,0.29,0.64,-0.35,-0.08,-0.00,0.03,
0.075,0.29,0.64,-0.35,-0.07,0.01,0.04,
0.075,0.36,0.64,-0.36,-0.07,0.01,0.04,
0.078,0.36,0.64,-0.36,-0.06,0.03,0.05,
0.08,0.36,0.64,-0.36,-0.05,0.05,0.06,
0.081,0.33,0.59,-0.36,-0.05,0.05,0.06,
0.083,0.33,0.59,-0.36,-0.04,0.07,0.07,
0.085,0.33,0.59,-0.36,-0.03,0.10,0.09,
0.086,0.27,0.52,-0.37,-0.03,0.10,0.09,
0.087,0.27,0.52,-0.37,-0.03,0.13,0.10,
0.09,0.27,0.52,-0.37,-0.03,0.16,0.11,
0.09,0.27,0.48,-0.41,-0.03,0.16,0.11,
0.093,0.27,0.48,-0.41,-0.02,0.19,0.12,
0.095,0.27,0.48,-0.41,-0.02,0.22,0.14,
0.095,0.28,0.43,-0.44,-0.02,0.22,0.14,
0.098,0.28,0.43,-0.44,-0.02,0.24,0.15,
0.101,0.28,0.43,-0.44,-0.02,0.27,0.17,
0.101,0.27,0.35,-0.42,-0.02,0.27,0.17,
0.102,0.27,0.35,-0.42,-0.03,0.30,0.18,
0.105,0.27,0.35,-0.42,-0.03,0.33,0.19,
0.105,0.23,0.26,-0.44,-0.03,0.33,0.19,
0.108,0.23,0.26,-0.44,-0.04,0.36,0.20,
0.11,0.23,0.26,-0.44,-0.05,0.39,0.22,
0.111,0.05,0.13,-0.36,-0.05,0.39,0.22,
0.114,0.05,0.13,-0.36,-0.06,0.43,0.23,
0.117,0.05,0.13,-0.36,-0.07,0.46,0.24,
0.118,-0.01,0.03,-0.30,-0.07,0.46,0.24,
0.118,-0.01,0.03,-0.30,-0.09,0.50,0.25,
0.12,-0.01,0.03,-0.30,-0.10,0.53,0.26,
