
time,ax,ay,az,wx,wy,wz,
0.009,-0.29,0.19,-0.11,0.02,0.06,0.01,
0.009,-0.29,0.19,-0.11,0.02,0.06,0.02,
0.01,-0.29,0.19,-0.11,0.02,0.06,0.02,
0.01,-0.13,0.18,0.01,0.02,0.06,0.02,
0.01,-0.13,0.18,0.01,0.03,0.06,0.02,
0.01,-0.13,0.18,0.01,0.04,0.07,0.02,
0.01,-0.13,0.18,0.01,0.05,0.08,0.02,
0.01,-0.14,0.18,-0.02,0.05,0.08,0.02,
0.011,-0.14,0.18,-0.02,0.06,0.09,0.03,
0.012,-0.14,0.18,-0.02,0.07,0.10,0.03,
0.013,-0.05,0.14,-0.09,0.07,0.10,0.03,
0.014,-0.05,0.14,-0.09,0.08,0.11,0.03,
0.016,-0.05,0.14,-0.09,0.09,0.12,0.03,
0.017,0.10,0.06,-0.27,0.09,0.12,0.03,
0.02,0.10,0.06,-0.27,0.09,0.12,0.03,
0.021,0.10,0.06,-0.27,0.09,0.12,0.03,
0.021,-0.00,0.01,-0.41,0.09,0.12,0.03,
0.024,-0.00,0.01,-0.41,0.09,0.12,0.02,
0.026,-0.00,0.01,-0.41,0.09,0.11,0.02,
0.027,-0.03,-0.01,-0.53,0.09,0.11,0.02,
0.029,-0.03,-0.01,-0.53,0.08,0.11,0.02,
0.031,-0.03,-0.01,-0.53,0.07,0.10,0.02,
0.032,-0.01,-0.00,-0.55,0.07,0.10,0.02,
0.034,-0.01,-0.00,-0.55,0.05,0.08,0.02,
0.036,-0.03,0.02,-0.49,0.05,0.08,0.02,
0.037,-0.03,0.02,-0.49,0.04,0.07,0.02,
0.039,-0.03,0.02,-0.49,0.03,0.06,0.02,
0.041,-0.03,0.02,-0.49,0.02,0.04,0.02,
0.041,-0.08,0.01,-0.38,0.02,0.04,0.02,
0.045,-0.08,0.01,-0.38,0.01,0.03,0.02,
0.047,-0.16,0.02,-0.24,0.01,0.03,0.02,
0.047,-0.16,0.02,-0.24,0.00,0.02,0.02,
0.049,-0.16,0.02,-0.24,-0.01,0.01,0.02,
0.051,-0.16,0.02,-0.24,-0.01,-0.01,0.03,
0.052,-0.19,0.02,-0.20,-0.01,-0.01,0.03,
0.054,-0.19,0.02,-0.20,-0.02,-0.02,0.03,
0.056,-0.19,0.02,-0.20,-0.03,-0.03,0.03,
0.056,-0.17,0.04,-0.16,-0.03,-0.03,0.03,
0.058,-0.17,0.04,-0.16,-0.04,-0.04,0.04,
0.063,-0.14,0.04,-0.14,-0.04,-0.04,0.04,
0.063,-0.14,0.04,-0.14,-0.05,-0.05,0.04,
0.065,-0.14,0.04,-0.14,-0.06,-0.06,0.04,
0.066,-0.14,0.04,-0.14,-0.07,-0.07,0.04,
0.066,-0.11,0.04,-0.08,-0.07,-0.07,0.04,
0.069,-0.11,0.04,-0.08,-0.07,-0.07,0.04,
0.071,-0.11,0.04,-0.08,-0.07,-0.07,0.04,
0.072,-0.08,0.02,0.00,-0.07,-0.07,0.04,
0.074,-0.08,0.02,0.00,-0.08,-0.07,0.04,
0.076,-0.05,0.03,0.07,-0.08,-0.07,0.04,
0.077,-0.05,0.03,0.07,-0.08,-0.07,0.05,
0.087,-0.05,0.03,0.07,-0.08,-0.06,0.05,
0.087,-0.02,0.01,0.11,-0.08,-0.06,0.05,
0.087,-0.02,0.01,0.11,-0.08,-0.06,0.05,
0.088,-0.02,0.01,0.11,-0.07,-0.05,0.04,
0.088,-0.02,0.01,0.11,-0.07,-0.05,0.04,
0.088,-0.02,0.00,0.12,-0.07,-0.05,0.04,
0.088,-0.02,0.00,0.12,-0.07,-0.04,0.04,
0.091,-0.02,0.00,0.12,-0.07,-0.04,0.04,
0.091,-0.03,0.03,0.11,-0.07,-0.04,0.04,
0.095,-0.03,0.03,0.11,-0.06,-0.03,0.04,
0.096,-0.05,0.06,0.06,-0.06,-0.03,0.04,
0.097,-0.05,0.06,0.06,-0.06,-0.03,0.04,
0.098,-0.05,0.06,0.06,-0.06,-0.02,0.05,
0.101,-0.05,0.06,0.06,-0.06,-0.02,0.05,
0.101,-0.07,0.04,0.01,-0.06,-0.02,0.05,
0.103,-0.07,0.04,0.01,-0.06,-0.02,0.05,
0.106,-0.07,0.04,0.01,-0.06,-0.01,0.05,
0.106,-0.09,0.04,-0.03,-0.06,-0.01,0.05,
0.108,-0.09,0.04,-0.03,-0.06,-0.01,0.05,
0.112,-0.11,0.03,-0.06,-0.06,-0.01,0.05,
0.112,-0.11,0.03,-0.06,-0.07,-0.01,0.05,
0.114,-0.11,0.03,-0.06,-0.07,-0.02,0.05,
0.116,-0.11,0.03,-0.06,-0.08,-0.02,0.05,
0.116,-0.10,0.03,-0.06,-0.08,-0.02,0.05,
0.118,-0.10,0.03,-0.06,-0.08,-0.02,0.05,
0.121,-0.10,0.03,-0.06,-0.09,-0.02,0.04,
0.121,-0.12,0.02,-0.13,-0.09,-0.02,0.04,
0.123,-0.12,0.02,-0.13,-0.09,-0.03,0.04,
0.126,-0.12,0.02,-0.13,-0.10,-0.04,0.04,
0.127,-0.09,0.03,-0.08,-0.10,-0.04,0.04,
0.133,-0.09,0.03,-0.08,-0.10,-0.04,0.04,
0.133,-0.09,0.03,-0.08,-0.10,-0.04,0.03,
0.134,-0.10,0.02,-0.06,-0.10,-0.04,0.03,
0.134,-0.10,0.02,-0.06,-0.10,-0.04,0.03,
0.136,-0.14,0.03,0.00,-0.10,-0.04,0.03,
